OBJECTID,FIPS_ADMIN,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,GMI_CNTRY,CNTRY_NAME,POP_ADMIN,TYPE_ENG,TYPE_LOC,SQKM,SQMI,COLOR_MAP,Shape_Leng,Shape_Area
888,MX06,MEX-CHH,Chihuahua,MX,MEX,Mexico,2656214,State,Estado,247935.01999999999,95727.70000000000,12,22.60927696090,22.89098494640
933,MX07,MEX-CDZ,Coahuila,MX,MEX,Mexico,2145539,State,Estado,150843.95000000001,58240.87000000000,2,18.99309043260,13.73365480400
976,MX19,MEX-NLE,Nuevo Leon,MX,MEX,Mexico,3370912,State,Estado,65173.05000000000,25163.31000000000,3,15.42617119310,5.84466810401
978,MX28,MEX-TML,Tamaulipas,MX,MEX,Mexico,2272724,State,Estado,79502.24000000001,30695.81000000000,11,18.02314412990,7.05656264365
998,MX25,MEX-SIN,Sinaloa,MX,MEX,Mexico,2397706,State,Estado,57638.85000000000,22254.36000000000,5,16.46605081750,5.14552447649
1004,MX10,MEX-DRN,Durango,MX,MEX,Mexico,1467826,State,Estado,120674.60000000001,46592.46000000000,4,17.51289517280,10.76485308940
1026,MX32,MEX-ZCT,Zacatecas,MX,MEX,Mexico,1383680,State,Estado,74995.58000000000,28955.79000000000,7,19.71277035170,6.60546001618
1034,MX24,MEX-SLP,San Luis Potosi,MX,MEX,Mexico,2179006,State,Estado,64140.09000000000,24764.49000000000,1,13.95142436320,5.62010723375
1051,MX14,MEX-JLS,Jalisco,MX,MEX,Mexico,5772704,State,Estado,79851.44000000000,30830.64000000000,8,20.99348859830,6.90002511892
1057,MX01,MEX-AGS,Aguascalientes,MX,MEX,Mexico,782890,State,Estado,5609.14000000000,2165.69000000000,4,2.80742497474,0.48932373832
1058,MX30,MEX-VLL,Veracruz,MX,MEX,Mexico,6774736,State,Estado,71286.36000000000,27523.66000000000,9,24.07409895030,6.11366803287
1067,MX11,MEX-GNJ,Guanajuato,MX,MEX,Mexico,4332525,State,Estado,30466.18000000000,11762.99000000000,10,8.46088097918,2.63756783068
1069,MX22,MEX-QDA,Queretaro,MX,MEX,Mexico,1143544,State,Estado,12094.60000000000,4669.73000000000,11,5.66621056862,1.04672420790
1071,MX31,MEX-YCT,Yucatan,MX,MEX,Mexico,1482218,State,Estado,37967.36000000000,14659.20000000000,8,8.59397151012,3.28431046503
1072,MX23,MEX-QRO,Quintana Roo,MX,MEX,Mexico,536599,State,Estado,51205.79000000000,19770.55000000000,7,15.04274863880,4.39562746873
1076,MX13,MEX-HDL,Hidalgo,MX,MEX,Mexico,2053998,State,Estado,21280.71000000000,8216.48000000000,6,8.57201009520,1.83721449979
1086,MX04,MEX-CMP,Campeche,MX,MEX,Mexico,582193,State,Estado,50234.82000000000,19395.66000000000,6,13.54701302140,4.29405363999
1088,MX21,MEX-PUE,Puebla,MX,MEX,Mexico,4487672,State,Estado,34365.46000000000,13268.50000000000,8,13.13477140110,2.93981160802
1096,MX16,MEX-MDO,Michoacan,MX,MEX,Mexico,3859507,State,Estado,59617.63000000000,23018.37000000000,6,12.96294140490,5.10635737734
1098,MX15,MEX-MEX,Mexico,MX,MEX,Mexico,10662420,State,Estado,21694.38000000000,8376.20000000000,1,8.16952036514,1.85980451266
1108,MX29,MEX-TLX,Tlaxcala,MX,MEX,Mexico,828003,State,Estado,4091.04000000000,1579.55000000000,5,2.69151305733,0.35082674679
1111,MX08,MEX-COL,Colima,MX,MEX,Mexico,466124,State,Estado,5747.09000000000,2218.95000000000,2,3.20790605626,0.49200626453
1114,MX09,MEX-DTD,Distrito Federal,MX,MEX,Mexico,9724226,Federal District,Distrito Federal,1342.75000000000,518.44000000000,3,1.31289822330,0.11504785406
1117,MX17,MEX-MRL,Morelos,MX,MEX,Mexico,1299939,State,Estado,5007.61000000000,1933.44000000000,2,2.95991319397,0.42772574980
1120,MX12,MEX-GRR,Guerrero,MX,MEX,Mexico,2867451,State,Estado,64626.02000000000,24952.11000000000,7,12.43251676140,5.48579367600
1123,MX20,MEX-OAX,Oaxaca,MX,MEX,Mexico,3329574,State,Estado,92715.81000000000,35797.57000000000,12,17.16021669100,7.84010271144
1125,MX27,MEX-TBS,Tabasco,MX,MEX,Mexico,1633691,State,Estado,24081.14000000000,9297.73000000000,3,10.62815517710,2.04725325860
1182,MX05,MEX-CHP,Chiapas,MX,MEX,Mexico,3524501,State,Estado,73771.48000000000,28483.17000000000,10,12.83523218080,6.22315024940
2303,MX26,MEX-SON,Sonora,MX,MEX,Mexico,1983593,State,Estado,180813.76999999999,69812.21000000001,9,24.72366948360,16.84273255960
2304,MX02,MEX-BCN,Baja California,MX,MEX,Mexico,1806829,State,Estado,72725.41000000000,28079.28000000000,7,19.89887834590,6.83125754788
2327,MX03,MEX-BCS,Baja California Sur,MX,MEX,Mexico,345682,State,Estado,72278.30000000000,27906.65000000000,8,26.27303527420,6.50070290084
2357,MX18,MEX-NYR,Nayarit,MX,MEX,Mexico,897046,State,Estado,27481.23000000000,10610.50000000000,3,9.47138792237,2.39476412341
